Composer;Life Time;Opus;Nr. in Opus;Movement Number;Year;Key;Title;url
Adolphe Adam;1803-1856;IAA5;COM;COM;1847;;Cantique de Noel;https://analyse.hfm-weimar.de/database/01/AdAd_IAA5_COM_COM_Cantiquede_001_00001.xml
Jakob Adlung;1699-1762;UNSP;UNSP;UNSP;;;Herr Christ, der einige Gottes Sohn;https://analyse.hfm-weimar.de/database/04/AdJa_UNSP_UNSP_UNSP_HerrChrist_004_00001.xml
Alexander Agricola;1446-1506;Agr1001;COM;1-4;;;Missa In myne zin - Gloria;https://analyse.hfm-weimar.de/database/02/AgAl_Agr1001_COM_1-4_MissaInmyn_002_00936.xml
Alexander Agricola;1446-1506;Agr1001;COM;2-4;;;Missa In myne zin - Credo;https://analyse.hfm-weimar.de/database/02/AgAl_Agr1001_COM_2-4_MissaInmyn_002_00937.xml
Alexander Agricola;1446-1506;Agr1001;COM;3-4;;;Missa In myne zin - Sanctus;https://analyse.hfm-weimar.de/database/02/AgAl_Agr1001_COM_3-4_MissaInmyn_002_00938.xml
Alexander Agricola;1446-1506;Agr1001;COM;4-4;;;Missa In myne zin - Agnus Dei;https://analyse.hfm-weimar.de/database/02/AgAl_Agr1001_COM_4-4_MissaInmyn_002_00939.xml
Alexander Agricola;1446-1506;Agr1004;COM;1-5;;;Missa Malheur me bat - Kyrie;https://analyse.hfm-weimar.de/database/02/AgAl_Agr1004_COM_1-5_MissaMalhe_002_00940.xml
Alexander Agricola;1446-1506;Agr1004;COM;2-5;;;Missa Malheur me bat - Gloria;https://analyse.hfm-weimar.de/database/02/AgAl_Agr1004_COM_2-5_MissaMalhe_002_00941.xml
Alexander Agricola;1446-1506;Agr1004;COM;3-5;;;Missa Malheur me bat - Credo;https://analyse.hfm-weimar.de/database/02/AgAl_Agr1004_COM_3-5_MissaMalhe_002_00942.xml
Alexander Agricola;1446-1506;Agr1004;COM;4-5;;;Missa Malheur me bat - Sanctus;https://analyse.hfm-weimar.de/database/02/AgAl_Agr1004_COM_4-5_MissaMalhe_002_00943.xml
Alexander Agricola;1446-1506;Agr1004;COM;5-5;;;Missa Malheur me bat - Agnus Dei;https://analyse.hfm-weimar.de/database/02/AgAl_Agr1004_COM_5-5_MissaMalhe_002_00944.xml
Alexander Agricola;1446-1506;Agr3051;COM;COM;;;Tout a par moy I;https://analyse.hfm-weimar.de/database/02/AgAl_Agr3051_COM_COM_Toutaparmo_002_00945.xml
Isaac Albeniz;1869-1909;Op.47;COM;1-8;1889;F-Dur;Suite Espanola No.1 - Granada - Serenata;https://analyse.hfm-weimar.de/database/01/AlIs_Op47_COM_1-8_SuiteEspan_001_00002.xml
Isaac Albeniz;1869-1909;Op.47;COM;3-8;1889;G-Dur;Suite Espanola No.1 - Sevilla - Sevillana;https://analyse.hfm-weimar.de/database/01/AlIs_Op47_COM_3-8_SuiteEspan_001_00003.xml
Isaac Albeniz;1869-1909;Op.47;COM;4-8;1889;Des-Dur;Suite Espanola No.1 - Cadiz - Saeta;https://analyse.hfm-weimar.de/database/01/AlIs_Op47_COM_4-8_SuiteEspan_001_00004.xml
Isaac Albeniz;1869-1909;Op.47;COM;5-8;1889;G-Moll;Suite Espanola No.1 - Asturias - Leyenda;https://analyse.hfm-weimar.de/database/01/AlIs_Op47_COM_5-8_SuiteEspan_001_00005.xml
Isaac Albeniz;1869-1909;Op.165;2-6;COM;1890;;Espana - Tango;https://analyse.hfm-weimar.de/database/01/AlIs_Op165_2-6_COM_Espana-Tan_001_00006.xml
Johann Friedrich Alberti;1642-1710;UNSP;UNSP;UNSP;;;Gelobet seist Du, Jesu Christ;https://analyse.hfm-weimar.de/database/04/AlJoFr_UNSP_UNSP_UNSP_Gelobetsei_004_00002.xml
Johann Friedrich Alberti;1642-1710;UNSP;UNSP;UNSP;;B-sharp major;Herzlich lieb hab ich dich;https://analyse.hfm-weimar.de/database/04/AlJoFr_UNSP_UNSP_UNSP_Herzlichli_004_00003.xml
Johann Friedrich Alberti;1642-1710;UNSP;UNSP;UNSP;;C major;Herzlich lieb hab ich dich;https://analyse.hfm-weimar.de/database/04/AlJoFr_UNSP_UNSP_UNSP_Herzlichli_004_00004.xml
Tomaso Albinoni;1671-1751;Op.1;12-12;COM;1694;D-Moll;Trio Sonata in D minor;https://analyse.hfm-weimar.de/database/01/AlTo_Op1_12-12_COM_TrioSonata_001_00007.xml
Tomaso Albinoni;1671-1751;Op.9;2-12;1-3;1722;D-Moll;Oboe Concerto in D minor;https://analyse.hfm-weimar.de/database/01/AlTo_Op9_2-12_1-3_OboeConcer_001_00008.xml
Tomaso Albinoni;1671-1751;Op.9;2-12;2-3;1722;D-Moll;Oboe Concerto in D minor;https://analyse.hfm-weimar.de/database/01/AlTo_Op9_2-12_2-3_OboeConcer_001_00009.xml
Tomaso Albinoni;1671-1751;Op.9;2-12;3-3;1722;D-Moll;Oboe Concerto in D minor;https://analyse.hfm-weimar.de/database/01/AlTo_Op9_2-12_3-3_OboeConcer_001_00010.xml
Tomaso Albinoni;1671-1751;Op.9;3-12;COM;1722;F-Dur;Concerto for 2 Oboes in F major;https://analyse.hfm-weimar.de/database/01/AlTo_Op9_3-12_COM_Concertofo_001_00011.xml
Johann Georg Albrechtsberger;1736-1809;UNSP;UNSP;UNSP;;E-Phrygisch;Alla breve in e phrygian;https://analyse.hfm-weimar.de/database/04/AlJoGe_UNSP_UNSP_UNSP_Allabrevei_004_00005.xml
Johann Georg Albrechtsberger;1736-1809;UNSP;UNSP;UNSP;;E minor;Fugato in E minor;https://analyse.hfm-weimar.de/database/04/AlJoGe_UNSP_UNSP_UNSP_FugatoinEm_004_00006.xml
Johann Georg Albrechtsberger;1736-1809;UNSP;UNSP;UNSP;;C minor;Fugue in C minor;https://analyse.hfm-weimar.de/database/04/AlJoGe_UNSP_UNSP_UNSP_FugueinCmi_004_00007.xml
Johann Georg Albrechtsberger;1736-1809;UNSP;UNSP;UNSP;;D major;Prelude in D major;https://analyse.hfm-weimar.de/database/04/AlJoGe_UNSP_UNSP_UNSP_PreludeinD_004_00008.xml
Charles-Valentin Alkan;1813-1888;Op.38;2-12;COM;1857;A-Moll;Deuxieme recueil de chants - Fa, Op. 38, No. 2;https://analyse.hfm-weimar.de/database/03/AlChaVa_Op38_2-12 _COM_Deuxiemere_003_00179.xml
Carl Philipp Emanuel Bach;1714-1788;H.16;COM;COM;1770;Es-Dur;Keyboard Sonata in E flat major;https://analyse.hfm-weimar.de/database/01/BaCaPhE_H16_COM_COM_KeyboardSo_001_00012.xml
Carl Philipp Emanuel Bach;1714-1788;H.98;COM;COM;1761;A-Moll;La Caroline;https://analyse.hfm-weimar.de/database/01/BaCaPhE_H98_COM_COM_LaCaroline_001_00013.xml
Carl Philipp Emanuel Bach;1714-1788;H.171;COM;COM;1763;Es-Dur;Minuet in E flat major;https://analyse.hfm-weimar.de/database/01/BaCaPhE_H171_COM_COM_MinuetinEf_001_00014.xml
Carl Philipp Emanuel Bach;1714-1788;H.195;COM;COM;;D-Moll;Fantasia in D minor;https://analyse.hfm-weimar.de/database/01/BaCaPhE_H195_COM_COM_Fantasiain_001_00015.xml
Carl Philipp Emanuel Bach;1714-1788;H.220;COM;COM;1766;C-Moll;Solfeggio in C minor;https://analyse.hfm-weimar.de/database/01/BaCaPhE_H220_COM_COM_Solfeggioi_001_00016.xml
Carl Philipp Emanuel Bach;1714-1788;H.222;COM;COM;1766;A-Dur;Solfeggio in A major;https://analyse.hfm-weimar.de/database/01/BaCaPhE_H222_COM_COM_Solfeggioi_001_00017.xml
