;Onset;Duration;Pitch;Octave;MIDI;Measure;Voice;PartID;PartName;MeasureOnset;TimeSignature;TimeSignatureAdjusted;Upbeat;UpbeatMeasure;ChordTag;TieType;GraceTag
0;0.0;2.0;D;5;74.0;1;1;1;Soprano.;0.0;4/4;16/16;none;none;none;none;none
1;2.0;2.0;F;5;77.0;1;1;1;Soprano.;0.0;4/4;16/16;none;none;none;none;none
2;0.0;2.0;G;4;67.0;1;2;1;Soprano.;0.0;4/4;16/16;none;none;none;none;none
3;2.0;2.0;F;4;65.0;1;2;1;Soprano.;0.0;4/4;16/16;none;none;none;none;none
4;0.0;2.0;B-1;3;58.0;1;3;1;Soprano.;0.0;4/4;16/16;none;none;none;none;none
5;2.0;2.0;C;4;60.0;1;3;1;Soprano.;0.0;4/4;16/16;none;none;none;none;none
6;0.0;2.0;G;3;55.0;1;4;1;Soprano.;0.0;4/4;16/16;none;none;none;none;none
7;2.0;2.0;A;3;57.0;1;4;1;Soprano.;0.0;4/4;16/16;none;none;none;none;none
8;4.0;1.0;D;5;74.0;2;1;1;Soprano.;4.0;4/4;16/16;none;none;none;none;none
9;5.0;1.0;D;5;74.0;2;1;1;Soprano.;4.0;4/4;16/16;none;none;none;none;none
10;6.0;1.0;D;5;74.0;2;1;1;Soprano.;4.0;4/4;16/16;none;none;none;none;none
11;7.0;1.0;D;5;74.0;2;1;1;Soprano.;4.0;4/4;16/16;none;none;none;none;none
12;4.0;1.0;F;4;65.0;2;2;1;Soprano.;4.0;4/4;16/16;none;none;none;none;none
13;5.0;1.0;F1;4;66.0;2;2;1;Soprano.;4.0;4/4;16/16;none;none;none;none;none
14;6.0;1.0;G;4;67.0;2;2;1;Soprano.;4.0;4/4;16/16;none;none;none;none;none
15;7.0;1.0;A;4;69.0;2;2;1;Soprano.;4.0;4/4;16/16;none;none;none;none;none
16;4.0;1.0;D;4;62.0;2;3;1;Soprano.;4.0;4/4;16/16;none;none;none;none;none
17;5.0;1.0;C;4;60.0;2;3;1;Soprano.;4.0;4/4;16/16;none;none;none;none;none
18;6.0;1.0;B-1;3;58.0;2;3;1;Soprano.;4.0;4/4;16/16;none;none;none;none;none
19;7.0;1.0;A;3;57.0;2;3;1;Soprano.;4.0;4/4;16/16;none;none;none;none;none
20;4.0;1.0;B-1;3;58.0;2;4;1;Soprano.;4.0;4/4;16/16;none;none;none;none;none
21;5.0;1.0;A;3;57.0;2;4;1;Soprano.;4.0;4/4;16/16;none;none;none;none;none
22;6.0;1.0;G;3;55.0;2;4;1;Soprano.;4.0;4/4;16/16;none;none;none;none;none
23;7.0;1.0;F1;3;54.0;2;4;1;Soprano.;4.0;4/4;16/16;none;none;none;none;none
24;8.0;2.0;E-1;5;75.0;3;1;1;Soprano.;8.0;4/4;16/16;none;none;none;none;none
25;10.0;2.0;D;5;74.0;3;1;1;Soprano.;8.0;4/4;16/16;none;none;none;none;none
26;8.0;1.0;G;4;67.0;3;2;1;Soprano.;8.0;4/4;16/16;none;none;none;none;none
27;9.0;2.0;F;4;65.0;3;2;1;Soprano.;8.0;4/4;16/16;none;none;none;none;none
28;11.0;1.0;G;4;67.0;3;2;1;Soprano.;8.0;4/4;16/16;none;none;none;none;none
29;8.0;1.0;B-1;3;58.0;3;3;1;Soprano.;8.0;4/4;16/16;none;none;none;none;none
30;9.0;2.0;C;4;60.0;3;3;1;Soprano.;8.0;4/4;16/16;none;none;none;none;none
31;11.0;1.0;B-1;3;58.0;3;3;1;Soprano.;8.0;4/4;16/16;none;none;none;none;none
32;8.0;1.0;G;3;55.0;3;4;1;Soprano.;8.0;4/4;16/16;none;none;none;none;none
33;9.0;1.0;A;3;57.0;3;4;1;Soprano.;8.0;4/4;16/16;none;none;none;none;none
34;10.0;1.0;B-1;3;58.0;3;4;1;Soprano.;8.0;4/4;16/16;none;none;none;none;none
35;11.0;1.0;G;3;55.0;3;4;1;Soprano.;8.0;4/4;16/16;none;none;none;none;none
36;12.0;2.0;C;5;72.0;4;1;1;Soprano.;12.0;4/4;16/16;none;none;none;none;none
37;14.0;2.0;C;5;72.0;4;1;1;Soprano.;12.0;4/4;16/16;none;none;none;none;none
38;12.0;2.0;G;4;67.0;4;2;1;Soprano.;12.0;4/4;16/16;none;none;none;none;none
39;14.0;2.0;F;4;65.0;4;2;1;Soprano.;12.0;4/4;16/16;none;none;none;none;none
40;12.0;2.0;B-1;3;58.0;4;3;1;Soprano.;12.0;4/4;16/16;none;none;none;none;none
41;14.0;2.0;A;3;57.0;4;3;1;Soprano.;12.0;4/4;16/16;none;none;none;none;none
42;12.0;1.0;E-1;3;51.0;4;4;1;Soprano.;12.0;4/4;16/16;none;none;none;none;none
43;13.0;1.0;C;3;48.0;4;4;1;Soprano.;12.0;4/4;16/16;none;none;none;none;none
44;14.0;2.0;F;3;53.0;4;4;1;Soprano.;12.0;4/4;16/16;none;none;none;none;none
45;16.0;4.0;B-1;4;70.0;5;1;1;Soprano.;16.0;4/4;16/16;none;none;none;none;none
46;16.0;4.0;F;4;65.0;5;2;1;Soprano.;16.0;4/4;16/16;none;none;none;none;none
47;16.0;4.0;D;4;62.0;5;3;1;Soprano.;16.0;4/4;16/16;none;none;none;none;none
48;16.0;4.0;B-1;2;46.0;5;4;1;Soprano.;16.0;4/4;16/16;none;none;none;none;none
49;20.0;2.0;D;5;74.0;6;1;1;Soprano.;20.0;4/4;16/16;none;none;none;none;none
50;22.0;2.0;F;5;77.0;6;1;1;Soprano.;20.0;4/4;16/16;none;none;none;none;none
51;20.0;4.0;F;4;65.0;6;2;1;Soprano.;20.0;4/4;16/16;none;none;none;none;none
52;20.0;4.0;B-1;3;58.0;6;3;1;Soprano.;20.0;4/4;16/16;none;none;none;none;none
53;20.0;2.0;B-1;3;58.0;6;4;1;Soprano.;20.0;4/4;16/16;none;none;none;none;none
54;22.0;2.0;D;3;50.0;6;4;1;Soprano.;20.0;4/4;16/16;none;none;none;none;none
55;24.0;1.0;C;5;72.0;7;1;1;Soprano.;24.0;4/4;16/16;none;none;none;none;none
56;25.0;1.0;C;5;72.0;7;1;1;Soprano.;24.0;4/4;16/16;none;none;none;none;none
57;26.0;1.0;C;5;72.0;7;1;1;Soprano.;24.0;4/4;16/16;none;none;none;none;none
58;27.0;1.0;G;4;67.0;7;1;1;Soprano.;24.0;4/4;16/16;none;none;none;none;none
59;24.0;1.0;F;4;65.0;7;2;1;Soprano.;24.0;4/4;16/16;none;none;none;none;none
60;25.0;1.0;F;4;65.0;7;2;1;Soprano.;24.0;4/4;16/16;none;none;none;none;none
61;26.0;1.0;E-1;4;63.0;7;2;1;Soprano.;24.0;4/4;16/16;none;none;none;none;none
62;27.0;1.0;G;4;67.0;7;2;1;Soprano.;24.0;4/4;16/16;none;none;none;none;none
63;24.0;1.0;A;3;57.0;7;3;1;Soprano.;24.0;4/4;16/16;none;none;none;none;none
64;25.0;1.0;C;4;60.0;7;3;1;Soprano.;24.0;4/4;16/16;none;none;none;none;none
65;26.0;1.0;G;3;55.0;7;3;1;Soprano.;24.0;4/4;16/16;none;none;none;none;none
66;27.0;1.0;C;4;60.0;7;3;1;Soprano.;24.0;4/4;16/16;none;none;none;none;none
67;24.0;1.0;F;3;53.0;7;4;1;Soprano.;24.0;4/4;16/16;none;none;none;none;none
68;25.0;1.0;A;3;57.0;7;4;1;Soprano.;24.0;4/4;16/16;none;none;none;none;none
69;26.0;1.0;C;4;60.0;7;4;1;Soprano.;24.0;4/4;16/16;none;none;none;none;none
70;27.0;1.0;E-1;3;51.0;7;4;1;Soprano.;24.0;4/4;16/16;none;none;none;none;none
71;28.0;2.0;B-1;4;70.0;8;1;1;Soprano.;28.0;4/4;16/16;none;none;none;none;none
72;30.0;2.0;A;4;69.0;8;1;1;Soprano.;28.0;4/4;16/16;none;none;none;none;none
73;28.0;2.0;G;4;67.0;8;2;1;Soprano.;28.0;4/4;16/16;none;none;none;none;none
74;30.0;2.0;F1;4;66.0;8;2;1;Soprano.;28.0;4/4;16/16;none;none;none;none;none
