;Onset;Duration;Pitch;Octave;MIDI;Measure;Voice;PartID;PartName;MeasureOnset;TimeSignature;TimeSignatureAdjusted;Upbeat;UpbeatMeasure;ChordTag;TieType;GraceTag
0;0.0;1.0;B;4;71.0;1;1;1;Soprano. Corno, Oboe I. II. Violino I. col Soprano.;0.0;4/4;16/16;none;none;none;none;none
1;1.0;1.0;B;4;71.0;1;1;1;Soprano. Corno, Oboe I. II. Violino I. col Soprano.;0.0;4/4;16/16;none;none;none;none;none
2;2.0;1.0;A;4;69.0;1;1;1;Soprano. Corno, Oboe I. II. Violino I. col Soprano.;0.0;4/4;16/16;none;none;none;none;none
3;3.0;1.0;D;5;74.0;1;1;1;Soprano. Corno, Oboe I. II. Violino I. col Soprano.;0.0;4/4;16/16;none;none;none;none;none
4;4.0;0.5;C1;5;73.0;2;1;1;Soprano. Corno, Oboe I. II. Violino I. col Soprano.;4.0;4/4;16/16;none;none;none;none;none
5;4.5;0.5;B;4;71.0;2;1;1;Soprano. Corno, Oboe I. II. Violino I. col Soprano.;4.0;4/4;16/16;none;none;none;none;none
6;5.0;1.0;C1;5;73.0;2;1;1;Soprano. Corno, Oboe I. II. Violino I. col Soprano.;4.0;4/4;16/16;none;none;none;none;none
7;6.0;2.0;B;4;71.0;2;1;1;Soprano. Corno, Oboe I. II. Violino I. col Soprano.;4.0;4/4;16/16;none;none;none;none;none
8;8.0;0.5;B;4;71.0;3;1;1;Soprano. Corno, Oboe I. II. Violino I. col Soprano.;8.0;4/4;16/16;none;none;none;none;none
9;8.5;0.5;C1;5;73.0;3;1;1;Soprano. Corno, Oboe I. II. Violino I. col Soprano.;8.0;4/4;16/16;none;none;none;none;none
10;9.0;1.0;D;5;74.0;3;1;1;Soprano. Corno, Oboe I. II. Violino I. col Soprano.;8.0;4/4;16/16;none;none;none;none;none
11;10.0;1.0;E;5;76.0;3;1;1;Soprano. Corno, Oboe I. II. Violino I. col Soprano.;8.0;4/4;16/16;none;none;none;none;none
12;11.0;1.0;D;5;74.0;3;1;1;Soprano. Corno, Oboe I. II. Violino I. col Soprano.;8.0;4/4;16/16;none;none;none;none;none
13;12.0;1.0;E;5;76.0;4;1;1;Soprano. Corno, Oboe I. II. Violino I. col Soprano.;12.0;4/4;16/16;none;none;none;none;none
14;13.0;1.0;F1;5;78.0;4;1;1;Soprano. Corno, Oboe I. II. Violino I. col Soprano.;12.0;4/4;16/16;none;none;none;none;none
15;14.0;2.0;D;5;74.0;4;1;1;Soprano. Corno, Oboe I. II. Violino I. col Soprano.;12.0;4/4;16/16;none;none;none;none;none
16;16.0;1.0;D;5;74.0;5;1;1;Soprano. Corno, Oboe I. II. Violino I. col Soprano.;16.0;4/4;16/16;none;none;none;none;none
17;17.0;1.0;E;5;76.0;5;1;1;Soprano. Corno, Oboe I. II. Violino I. col Soprano.;16.0;4/4;16/16;none;none;none;none;none
18;18.0;0.5;F1;5;78.0;5;1;1;Soprano. Corno, Oboe I. II. Violino I. col Soprano.;16.0;4/4;16/16;none;none;none;none;none
19;18.5;0.5;E;5;76.0;5;1;1;Soprano. Corno, Oboe I. II. Violino I. col Soprano.;16.0;4/4;16/16;none;none;none;none;none
20;19.0;1.0;D;5;74.0;5;1;1;Soprano. Corno, Oboe I. II. Violino I. col Soprano.;16.0;4/4;16/16;none;none;none;none;none
21;20.0;0.5;E;5;76.0;6;1;1;Soprano. Corno, Oboe I. II. Violino I. col Soprano.;20.0;4/4;16/16;none;none;none;none;none
22;20.5;0.5;D;5;74.0;6;1;1;Soprano. Corno, Oboe I. II. Violino I. col Soprano.;20.0;4/4;16/16;none;none;none;none;none
23;21.0;1.0;C1;5;73.0;6;1;1;Soprano. Corno, Oboe I. II. Violino I. col Soprano.;20.0;4/4;16/16;none;none;none;none;none
24;22.0;2.0;B;4;71.0;6;1;1;Soprano. Corno, Oboe I. II. Violino I. col Soprano.;20.0;4/4;16/16;none;none;none;none;none
25;24.0;1.0;B;4;71.0;7;1;1;Soprano. Corno, Oboe I. II. Violino I. col Soprano.;24.0;4/4;16/16;none;none;none;none;none
26;25.0;1.0;B;4;71.0;7;1;1;Soprano. Corno, Oboe I. II. Violino I. col Soprano.;24.0;4/4;16/16;none;none;none;none;none
27;26.0;1.0;A;4;69.0;7;1;1;Soprano. Corno, Oboe I. II. Violino I. col Soprano.;24.0;4/4;16/16;none;none;none;none;none
28;27.0;1.0;D;5;74.0;7;1;1;Soprano. Corno, Oboe I. II. Violino I. col Soprano.;24.0;4/4;16/16;none;none;none;none;none
29;28.0;0.5;C1;5;73.0;8;1;1;Soprano. Corno, Oboe I. II. Violino I. col Soprano.;28.0;4/4;16/16;none;none;none;none;none
30;28.5;0.5;B;4;71.0;8;1;1;Soprano. Corno, Oboe I. II. Violino I. col Soprano.;28.0;4/4;16/16;none;none;none;none;none
31;29.0;1.0;C1;5;73.0;8;1;1;Soprano. Corno, Oboe I. II. Violino I. col Soprano.;28.0;4/4;16/16;none;none;none;none;none
32;30.0;2.0;B;4;71.0;8;1;1;Soprano. Corno, Oboe I. II. Violino I. col Soprano.;28.0;4/4;16/16;none;none;none;none;none
33;0.0;1.0;F1;4;66.0;1;1;2;Alto. Violino II. coll' Alto.;0.0;4/4;16/16;none;none;none;none;none
34;1.0;1.0;E;4;64.0;1;1;2;Alto. Violino II. coll' Alto.;0.0;4/4;16/16;none;none;none;none;none
35;2.0;1.0;F1;4;66.0;1;1;2;Alto. Violino II. coll' Alto.;0.0;4/4;16/16;none;none;none;none;none
36;3.0;1.0;F1;4;66.0;1;1;2;Alto. Violino II. coll' Alto.;0.0;4/4;16/16;none;none;none;none;none
37;4.0;0.5;F1;4;66.0;2;1;2;Alto. Violino II. coll' Alto.;4.0;4/4;16/16;none;none;none;none;none
38;4.5;0.5;G1;4;68.0;2;1;2;Alto. Violino II. coll' Alto.;4.0;4/4;16/16;none;none;none;none;none
39;5.0;1.0;A1;4;70.0;2;1;2;Alto. Violino II. coll' Alto.;4.0;4/4;16/16;none;none;none;none;none
40;6.0;2.0;F1;4;66.0;2;1;2;Alto. Violino II. coll' Alto.;4.0;4/4;16/16;none;none;none;none;none
41;8.0;0.5;F1;4;66.0;3;1;2;Alto. Violino II. coll' Alto.;8.0;4/4;16/16;none;none;none;none;none
42;8.5;0.5;A1;4;70.0;3;1;2;Alto. Violino II. coll' Alto.;8.0;4/4;16/16;none;none;none;none;none
43;9.0;1.0;B;4;71.0;3;1;2;Alto. Violino II. coll' Alto.;8.0;4/4;16/16;none;none;none;none;none
44;10.0;1.0;E;4;64.0;3;1;2;Alto. Violino II. coll' Alto.;8.0;4/4;16/16;none;none;none;none;none
45;11.0;1.0;A;4;69.0;3;1;2;Alto. Violino II. coll' Alto.;8.0;4/4;16/16;none;none;none;none;none
