;Onset;Duration;Pitch;Octave;MIDI;Measure;Voice;PartID;PartName;MeasureOnset;TimeSignature;TimeSignatureAdjusted;Upbeat;UpbeatMeasure;ChordTag;TieType;GraceTag
0;0.0;0.5;E;4;64.0;1;1;1;Soprano.;0.0;4/4;16/16;none;none;none;none;none
1;0.5;0.5;F1;4;66.0;1;1;1;Soprano.;0.0;4/4;16/16;none;none;none;none;none
2;0.0;1.0;B;3;59.0;1;5;1;Soprano.;0.0;4/4;16/16;none;none;none;none;none
3;0.0;0.5;G;3;55.0;1;9;1;Soprano.;0.0;4/4;16/16;none;none;none;none;none
4;0.5;0.5;A;3;57.0;1;9;1;Soprano.;0.0;4/4;16/16;none;none;none;none;none
5;0.0;1.0;E;3;52.0;1;13;1;Soprano.;0.0;4/4;16/16;none;none;none;none;none
6;4.0;1.0;G;4;67.0;2;1;1;Soprano.;4.0;4/4;16/16;none;none;none;none;none
7;5.0;1.0;A;4;69.0;2;1;1;Soprano.;4.0;4/4;16/16;none;none;none;none;none
8;6.0;1.0;B;4;71.0;2;1;1;Soprano.;4.0;4/4;16/16;none;none;none;none;none
9;7.0;1.0;A;4;69.0;2;1;1;Soprano.;4.0;4/4;16/16;none;none;none;none;none
10;4.0;1.0;E;4;64.0;2;5;1;Soprano.;4.0;4/4;16/16;none;none;none;none;none
11;5.0;1.0;F1;4;66.0;2;5;1;Soprano.;4.0;4/4;16/16;none;none;none;none;none
12;6.0;1.0;G;4;67.0;2;5;1;Soprano.;4.0;4/4;16/16;none;none;none;none;none
13;7.0;1.0;F1;4;66.0;2;5;1;Soprano.;4.0;4/4;16/16;none;none;none;none;none
14;4.0;1.0;B;3;59.0;2;9;1;Soprano.;4.0;4/4;16/16;none;none;none;none;none
15;5.0;1.0;D;4;62.0;2;9;1;Soprano.;4.0;4/4;16/16;none;none;none;none;none
16;6.0;1.0;D;4;62.0;2;9;1;Soprano.;4.0;4/4;16/16;none;none;none;none;none
17;7.0;0.5;D;4;62.0;2;9;1;Soprano.;4.0;4/4;16/16;none;none;none;none;none
18;7.5;0.5;E;4;64.0;2;9;1;Soprano.;4.0;4/4;16/16;none;none;none;none;none
19;4.0;1.0;E;3;52.0;2;13;1;Soprano.;4.0;4/4;16/16;none;none;none;none;none
20;5.0;1.0;D;3;50.0;2;13;1;Soprano.;4.0;4/4;16/16;none;none;none;none;none
21;6.0;1.0;G;3;55.0;2;13;1;Soprano.;4.0;4/4;16/16;none;none;none;none;none
22;7.0;0.5;D;3;50.0;2;13;1;Soprano.;4.0;4/4;16/16;none;none;none;none;none
23;7.5;0.5;C1;3;49.0;2;13;1;Soprano.;4.0;4/4;16/16;none;none;none;none;none
24;8.0;1.0;D;5;74.0;3;1;1;Soprano.;8.0;4/4;16/16;none;none;none;none;none
25;9.0;1.0;C1;5;73.0;3;1;1;Soprano.;8.0;4/4;16/16;none;none;none;none;none
26;10.0;1.0;B;4;71.0;3;1;1;Soprano.;8.0;4/4;16/16;none;none;none;none;none
27;11.0;1.0;A;4;69.0;3;1;1;Soprano.;8.0;4/4;16/16;none;none;none;none;none
28;8.0;1.5;B;4;71.0;3;5;1;Soprano.;8.0;4/4;16/16;none;none;none;none;none
29;9.5;0.5;A1;4;70.0;3;5;1;Soprano.;8.0;4/4;16/16;none;none;none;none;none
30;10.0;1.0;F1;4;66.0;3;5;1;Soprano.;8.0;4/4;16/16;none;none;none;none;none
31;11.0;1.0;F1;4;66.0;3;5;1;Soprano.;8.0;4/4;16/16;none;none;none;none;none
32;8.0;0.5;F1;4;66.0;3;9;1;Soprano.;8.0;4/4;16/16;none;none;none;none;none
33;8.5;0.5;D;4;62.0;3;9;1;Soprano.;8.0;4/4;16/16;none;none;none;none;none
34;9.0;0.5;G;4;67.0;3;9;1;Soprano.;8.0;4/4;16/16;none;none;none;none;none
35;9.5;0.5;F1;4;66.0;3;9;1;Soprano.;8.0;4/4;16/16;none;none;none;none;none
36;10.0;1.0;D;4;62.0;3;9;1;Soprano.;8.0;4/4;16/16;none;none;none;none;none
37;11.0;1.0;C1;4;61.0;3;9;1;Soprano.;8.0;4/4;16/16;none;none;none;none;none
38;8.0;0.5;B;2;47.0;3;13;1;Soprano.;8.0;4/4;16/16;none;none;none;none;none
39;8.5;0.5;G;3;55.0;3;13;1;Soprano.;8.0;4/4;16/16;none;none;none;none;none
40;9.0;0.5;E;3;52.0;3;13;1;Soprano.;8.0;4/4;16/16;none;none;none;none;none
41;9.5;0.5;F1;3;54.0;3;13;1;Soprano.;8.0;4/4;16/16;none;none;none;none;none
42;10.0;1.0;B;3;59.0;3;13;1;Soprano.;8.0;4/4;16/16;none;none;none;none;none
43;11.0;1.0;F1;3;54.0;3;13;1;Soprano.;8.0;4/4;16/16;none;none;none;none;none
44;12.0;1.0;D;5;74.0;4;1;1;Soprano.;12.0;4/4;16/16;none;none;none;none;none
45;13.0;1.0;C1;5;73.0;4;1;1;Soprano.;12.0;4/4;16/16;none;none;none;none;none
46;14.0;1.0;B;4;71.0;4;1;1;Soprano.;12.0;4/4;16/16;none;none;none;none;none
47;15.0;1.0;A;4;69.0;4;1;1;Soprano.;12.0;4/4;16/16;none;none;none;none;none
48;12.0;0.5;F1;4;66.0;4;5;1;Soprano.;12.0;4/4;16/16;none;none;none;none;none
49;12.5;0.5;G;4;67.0;4;5;1;Soprano.;12.0;4/4;16/16;none;none;none;none;none
50;13.0;0.5;G;4;67.0;4;5;1;Soprano.;12.0;4/4;16/16;none;none;none;none;none
51;13.5;0.5;F1;4;66.0;4;5;1;Soprano.;12.0;4/4;16/16;none;none;none;none;none
52;14.0;0.5;F1;4;66.0;4;5;1;Soprano.;12.0;4/4;16/16;none;none;none;none;none
53;14.5;0.5;E;4;64.0;4;5;1;Soprano.;12.0;4/4;16/16;none;none;none;none;none
54;15.0;0.5;E;4;64.0;4;5;1;Soprano.;12.0;4/4;16/16;none;none;none;none;none
55;15.5;0.5;D1;4;63.0;4;5;1;Soprano.;12.0;4/4;16/16;none;none;none;none;none
56;12.0;1.0;B;3;59.0;4;9;1;Soprano.;12.0;4/4;16/16;none;none;none;none;none
57;13.0;1.0;C1;4;61.0;4;9;1;Soprano.;12.0;4/4;16/16;none;none;none;none;none
58;14.0;0.5;D1;4;63.0;4;9;1;Soprano.;12.0;4/4;16/16;none;none;none;none;none
59;14.5;0.5;E;4;64.0;4;9;1;Soprano.;12.0;4/4;16/16;none;none;none;none;none
60;15.0;1.0;F1;4;66.0;4;9;1;Soprano.;12.0;4/4;16/16;none;none;none;none;none
61;12.0;1.0;B;3;59.0;4;13;1;Soprano.;12.0;4/4;16/16;none;none;none;none;none
62;13.0;1.0;A;3;57.0;4;13;1;Soprano.;12.0;4/4;16/16;none;none;none;none;none
63;14.0;1.0;G;3;55.0;4;13;1;Soprano.;12.0;4/4;16/16;none;none;none;none;none
64;15.0;1.0;F1;3;54.0;4;13;1;Soprano.;12.0;4/4;16/16;none;none;none;none;none
65;16.0;1.0;G;4;67.0;5;1;1;Soprano.;16.0;4/4;16/16;none;none;none;none;none
66;17.0;1.0;F1;4;66.0;5;1;1;Soprano.;16.0;4/4;16/16;none;none;none;none;none
67;18.0;1.0;E;4;64.0;5;1;1;Soprano.;16.0;4/4;16/16;none;none;none;none;none
68;16.0;1.0;E;4;64.0;5;5;1;Soprano.;16.0;4/4;16/16;none;none;none;none;none
69;17.0;1.0;D1;4;63.0;5;5;1;Soprano.;16.0;4/4;16/16;none;none;none;none;none
70;18.0;1.0;B;3;59.0;5;5;1;Soprano.;16.0;4/4;16/16;none;none;none;none;none
71;16.0;1.5;B;3;59.0;5;9;1;Soprano.;16.0;4/4;16/16;none;none;none;none;none
