;Onset;Duration;Pitch;Octave;MIDI;Measure;Voice;PartID;PartName;MeasureOnset;TimeSignature;TimeSignatureAdjusted;Upbeat;UpbeatMeasure;ChordTag;TieType;GraceTag
0;0.0;1.0;rest;rest;;1;1;1;Violino I;0.0;3/4;12/16;none;none;none;none;none
1;1.0;1.0;A;5;81.0;1;1;1;Violino I;0.0;3/4;12/16;none;none;none;none;none
2;2.0;1.0;B-1;5;82.0;1;1;1;Violino I;0.0;3/4;12/16;none;none;none;none;none
3;3.0;1.5;C;6;84.0;2;1;1;Violino I;3.0;3/4;12/16;none;none;none;none;none
4;4.5;0.5;B-1;5;82.0;2;1;1;Violino I;3.0;3/4;12/16;none;none;none;none;none
5;5.0;1.0;A;5;81.0;2;1;1;Violino I;3.0;3/4;12/16;none;none;none;none;none
6;6.0;1.0;D;6;86.0;3;1;1;Violino I;6.0;3/4;12/16;none;none;none;none;none
7;7.0;1.5;C;6;84.0;3;1;1;Violino I;6.0;3/4;12/16;none;none;none;none;none
8;8.5;0.5;B-1;5;82.0;3;1;1;Violino I;6.0;3/4;12/16;none;none;none;none;none
9;9.0;1.5;A;5;81.0;4;1;1;Violino I;9.0;3/4;12/16;none;none;none;none;none
10;10.5;0.5;B-1;5;82.0;4;1;1;Violino I;9.0;3/4;12/16;none;none;none;none;none
11;11.0;1.0;C;6;84.0;4;1;1;Violino I;9.0;3/4;12/16;none;none;none;none;none
12;12.0;2.0;B-1;5;82.0;5;1;1;Violino I;12.0;3/4;12/16;none;none;none;none;none
13;14.0;2.0;A;5;81.0;5;1;1;Violino I;12.0;3/4;12/16;none;none;none;start;none
14;16.0;1.5;G;5;79.0;6;1;1;Violino I;15.0;3/4;12/16;none;none;none;none;none
15;17.5;0.5;A;5;81.0;6;1;1;Violino I;15.0;3/4;12/16;none;none;none;none;none
16;18.0;1.0;A;5;81.0;7;1;1;Violino I;18.0;3/4;12/16;none;none;none;none;none
17;19.0;3.0;A;5;81.0;7;1;1;Violino I;18.0;3/4;12/16;none;none;none;start;none
18;22.0;3.0;G;5;79.0;8;1;1;Violino I;21.0;3/4;12/16;none;none;none;start;none
19;25.0;3.0;F;5;77.0;9;1;1;Violino I;24.0;3/4;12/16;none;none;none;start;none
20;28.0;3.0;E-1;5;75.0;10;1;1;Violino I;27.0;3/4;12/16;none;none;none;start;none
21;31.0;3.0;D;5;74.0;11;1;1;Violino I;30.0;3/4;12/16;none;none;none;start;none
