;Onset;Duration;Pitch;Octave;MIDI;Measure;Voice;PartID;PartName;MeasureOnset;TimeSignature;TimeSignatureAdjusted;Upbeat;UpbeatMeasure;ChordTag;TieType;GraceTag
0;0.0;8.0;A;4;69.0;1;0;1;Superius;0.0;3/1;12/4;none;none;none;none;none
1;8.0;4.0;G;4;67.0;1;0;1;Superius;0.0;3/1;12/4;none;none;none;none;none
2;12.0;8.0;F;4;65.0;2;0;1;Superius;12.0;3/1;12/4;none;none;none;none;none
3;20.0;4.0;D;4;62.0;2;0;1;Superius;12.0;3/1;12/4;none;none;none;none;none
4;24.0;4.0;E;4;64.0;3;0;1;Superius;24.0;3/1;12/4;none;none;none;none;none
5;28.0;4.0;A;4;69.0;3;0;1;Superius;24.0;3/1;12/4;none;none;none;none;none
6;32.0;4.0;G;4;67.0;3;0;1;Superius;24.0;3/1;12/4;none;none;none;none;none
7;36.0;8.0;F;4;65.0;4;0;1;Superius;36.0;3/1;12/4;none;none;none;none;none
8;44.0;4.0;D;4;62.0;4;0;1;Superius;36.0;3/1;12/4;none;none;none;none;none
9;48.0;2.0;E;4;64.0;5;0;1;Superius;48.0;3/1;12/4;none;none;none;none;none
10;50.0;3.0;G;4;67.0;5;0;1;Superius;48.0;3/1;12/4;none;none;none;none;none
11;53.0;1.0;F;4;65.0;5;0;1;Superius;48.0;3/1;12/4;none;none;none;none;none
12;54.0;2.0;G;4;67.0;5;0;1;Superius;48.0;3/1;12/4;none;none;none;none;none
13;56.0;2.0;A;4;69.0;5;0;1;Superius;48.0;3/1;12/4;none;none;none;none;none
14;58.0;2.0;B;4;71.0;5;0;1;Superius;48.0;3/1;12/4;none;none;none;none;none
15;60.0;3.0;C;5;72.0;6;0;1;Superius;60.0;3/1;12/4;none;none;none;none;none
16;63.0;1.0;B;4;71.0;6;0;1;Superius;60.0;3/1;12/4;none;none;none;none;none
17;64.0;2.0;G;4;67.0;6;0;1;Superius;60.0;3/1;12/4;none;none;none;none;none
18;66.0;3.0;A;4;69.0;6;0;1;Superius;60.0;3/1;12/4;none;none;none;none;none
19;69.0;1.0;G;4;67.0;6;0;1;Superius;60.0;3/1;12/4;none;none;none;none;none
20;70.0;1.0;F;4;65.0;6;0;1;Superius;60.0;3/1;12/4;none;none;none;none;none
21;71.0;1.0;E;4;64.0;6;0;1;Superius;60.0;3/1;12/4;none;none;none;none;none
22;72.0;2.0;D;4;62.0;7;0;1;Superius;72.0;3/1;12/4;none;none;none;none;none
23;74.0;3.0;G;4;67.0;7;0;1;Superius;72.0;3/1;12/4;none;none;none;none;none
24;77.0;1.0;C;4;60.0;7;0;1;Superius;72.0;3/1;12/4;none;none;none;none;none
25;78.0;2.0;C;4;60.0;7;0;1;Superius;72.0;3/1;12/4;none;none;none;none;none
26;80.0;2.0;D;4;62.0;7;0;1;Superius;72.0;3/1;12/4;none;none;none;none;none
27;82.0;2.0;F;4;65.0;7;0;1;Superius;72.0;3/1;12/4;none;none;none;none;none
28;84.0;3.0;E;4;64.0;8;0;1;Superius;84.0;3/1;12/4;none;none;none;none;none
29;87.0;1.0;A;3;57.0;8;0;1;Superius;84.0;3/1;12/4;none;none;none;none;none
30;88.0;2.0;A;3;57.0;8;0;1;Superius;84.0;3/1;12/4;none;none;none;none;none
31;90.0;4.0;A;4;69.0;8;0;1;Superius;84.0;3/1;12/4;none;none;none;none;none
32;94.0;2.0;G1;4;68.0;8;0;1;Superius;84.0;3/1;12/4;none;none;none;none;none
33;96.0;8.0;A;4;69.0;9;0;1;Superius;96.0;3/1;12/4;none;none;none;none;none
34;104.0;4.0;rest;rest;;9;0;1;Superius;96.0;3/1;12/4;none;none;none;none;none
35;108.0;8.0;A;4;69.0;10;0;1;Superius;108.0;3/1;12/4;none;none;none;none;none
36;116.0;4.0;A;4;69.0;10;0;1;Superius;108.0;3/1;12/4;none;none;none;none;none
37;120.0;4.0;G;4;67.0;11;0;1;Superius;120.0;3/1;12/4;none;none;none;none;none
38;124.0;4.0;C;5;72.0;11;0;1;Superius;120.0;3/1;12/4;none;none;none;none;none
39;128.0;4.0;B;4;71.0;11;0;1;Superius;120.0;3/1;12/4;none;none;none;none;none
40;132.0;12.0;A;4;69.0;12;0;1;Superius;132.0;3/1;12/4;none;none;none;none;none
41;144.0;12.0;G;4;67.0;13;0;1;Superius;144.0;3/1;12/4;none;none;none;none;none
42;156.0;8.0;A;4;69.0;14;0;1;Superius;156.0;2/1;8/4;none;none;none;none;none
43;164.0;8.0;G;4;67.0;15;0;1;Superius;164.0;2/1;8/4;none;none;none;none;none
44;172.0;4.0;F;4;65.0;16;0;1;Superius;172.0;2/1;8/4;none;none;none;none;none
45;176.0;4.0;D;4;62.0;16;0;1;Superius;172.0;2/1;8/4;none;none;none;none;none
46;180.0;4.0;E;4;64.0;17;0;1;Superius;180.0;2/1;8/4;none;none;none;none;none
47;184.0;6.0;A;4;69.0;17;0;1;Superius;180.0;2/1;8/4;none;none;none;start;none
48;190.0;2.0;G;4;67.0;18;0;1;Superius;188.0;2/1;8/4;none;none;none;none;none
49;192.0;4.0;G;4;67.0;18;0;1;Superius;188.0;2/1;8/4;none;none;none;none;none
50;196.0;4.0;F;4;65.0;19;0;1;Superius;196.0;2/1;8/4;none;none;none;none;none
51;200.0;4.0;D;4;62.0;19;0;1;Superius;196.0;2/1;8/4;none;none;none;none;none
52;204.0;16.0;E;4;64.0;20;0;1;Superius;204.0;2/1;8/4;none;none;none;start;none
53;220.0;8.0;rest;rest;;22;0;1;Superius;220.0;2/1;8/4;none;none;none;none;none
54;228.0;8.0;rest;rest;;23;0;1;Superius;228.0;2/1;8/4;none;none;none;none;none
55;236.0;8.0;rest;rest;;24;0;1;Superius;236.0;2/1;8/4;none;none;none;none;none
56;244.0;8.0;rest;rest;;25;0;1;Superius;244.0;2/1;8/4;none;none;none;none;none
57;252.0;8.0;rest;rest;;26;0;1;Superius;252.0;2/1;8/4;none;none;none;none;none
58;260.0;4.0;rest;rest;;27;0;1;Superius;260.0;2/1;8/4;none;none;none;none;none
59;264.0;4.0;B;4;71.0;27;0;1;Superius;260.0;2/1;8/4;none;none;none;none;none
60;268.0;6.0;C;5;72.0;28;0;1;Superius;268.0;2/1;8/4;none;none;none;none;none
61;274.0;1.0;B;4;71.0;28;0;1;Superius;268.0;2/1;8/4;none;none;none;none;none
62;275.0;1.0;A;4;69.0;28;0;1;Superius;268.0;2/1;8/4;none;none;none;none;none
63;276.0;4.0;C;5;72.0;29;0;1;Superius;276.0;2/1;8/4;none;none;none;none;none
64;280.0;4.0;B;4;71.0;29;0;1;Superius;276.0;2/1;8/4;none;none;none;none;none
65;284.0;8.0;A;4;69.0;30;0;1;Superius;284.0;2/1;8/4;none;none;none;none;none
66;292.0;4.0;G;4;67.0;31;0;1;Superius;292.0;2/1;8/4;none;none;none;none;none
67;296.0;8.0;C;5;72.0;31;0;1;Superius;292.0;2/1;8/4;none;none;none;start;none
68;304.0;4.0;B;4;71.0;32;0;1;Superius;300.0;2/1;8/4;none;none;none;none;none
69;308.0;2.0;A;4;69.0;33;0;1;Superius;308.0;2/1;8/4;none;none;none;none;none
70;310.0;2.0;C;5;72.0;33;0;1;Superius;308.0;2/1;8/4;none;none;none;none;none
71;312.0;2.0;B;4;71.0;33;0;1;Superius;308.0;2/1;8/4;none;none;none;none;none
72;314.0;4.0;A;4;69.0;33;0;1;Superius;308.0;2/1;8/4;none;none;none;start;none
73;318.0;1.0;G1;4;68.0;34;0;1;Superius;316.0;2/1;8/4;none;none;none;none;none
74;319.0;1.0;F1;4;66.0;34;0;1;Superius;316.0;2/1;8/4;none;none;none;none;none
75;320.0;4.0;G1;4;68.0;34;0;1;Superius;316.0;2/1;8/4;none;none;none;none;none
76;324.0;16.0;A;4;69.0;35;0;1;Superius;324.0;2/1;8/4;none;none;none;start;none
77;340.0;4.0;D;4;62.0;37;0;1;Superius;340.0;2/1;8/4;none;none;none;none;none
78;344.0;4.0;D;5;74.0;37;0;1;Superius;340.0;2/1;8/4;none;none;none;none;none
79;348.0;4.0;C;5;72.0;38;0;1;Superius;348.0;2/1;8/4;none;none;none;none;none
80;352.0;6.0;A;4;69.0;38;0;1;Superius;348.0;2/1;8/4;none;none;none;start;none
81;358.0;2.0;B;4;71.0;39;0;1;Superius;356.0;2/1;8/4;none;none;none;none;none
82;360.0;4.0;C;5;72.0;39;0;1;Superius;356.0;2/1;8/4;none;none;none;none;none
83;364.0;8.0;D;5;74.0;40;0;1;Superius;364.0;2/1;8/4;none;none;none;none;none
84;372.0;8.0;C;5;72.0;41;0;1;Superius;372.0;2/1;8/4;none;none;none;none;none
85;380.0;4.0;A;4;69.0;42;0;1;Superius;380.0;3/1;12/4;none;none;none;none;none
86;384.0;2.0;G;4;67.0;42;0;1;Superius;380.0;3/1;12/4;none;none;none;none;none
87;386.0;4.0;F;4;65.0;42;0;1;Superius;380.0;3/1;12/4;none;none;none;none;none
88;390.0;2.0;D;4;62.0;42;0;1;Superius;380.0;3/1;12/4;none;none;none;none;none
89;392.0;2.0;E;4;64.0;43;0;1;Superius;392.0;3/1;12/4;none;none;none;none;none
90;394.0;2.0;A;4;69.0;43;0;1;Superius;392.0;3/1;12/4;none;none;none;none;none
91;396.0;2.0;G;4;67.0;43;0;1;Superius;392.0;3/1;12/4;none;none;none;none;none
92;398.0;4.0;F;4;65.0;43;0;1;Superius;392.0;3/1;12/4;none;none;none;none;none
93;402.0;2.0;D;4;62.0;43;0;1;Superius;392.0;3/1;12/4;none;none;none;none;none
94;404.0;2.0;E;4;64.0;44;0;1;Superius;404.0;3/1;12/4;none;none;none;none;none
95;406.0;2.0;A;4;69.0;44;0;1;Superius;404.0;3/1;12/4;none;none;none;none;none
96;408.0;2.0;G;4;67.0;44;0;1;Superius;404.0;3/1;12/4;none;none;none;none;none
97;410.0;2.0;F;4;65.0;44;0;1;Superius;404.0;3/1;12/4;none;none;none;none;none
98;412.0;4.0;D;4;62.0;44;0;1;Superius;404.0;3/1;12/4;none;none;none;none;none
99;416.0;4.0;E;4;64.0;45;0;1;Superius;416.0;3/1;12/4;none;none;none;none;none
100;420.0;4.0;rest;rest;;45;0;1;Superius;416.0;3/1;12/4;none;none;none;none;none
101;424.0;4.0;A;4;69.0;45;0;1;Superius;416.0;3/1;12/4;none;none;none;none;none
102;428.0;2.0;G;4;67.0;46;0;1;Superius;428.0;3/1;12/4;none;none;none;none;none
103;430.0;2.0;C;5;72.0;46;0;1;Superius;428.0;3/1;12/4;none;none;none;none;none
104;432.0;2.0;B;4;71.0;46;0;1;Superius;428.0;3/1;12/4;none;none;none;none;none
105;434.0;4.0;A;4;69.0;46;0;1;Superius;428.0;3/1;12/4;none;none;none;none;none
106;438.0;1.0;G;4;67.0;46;0;1;Superius;428.0;3/1;12/4;none;none;none;none;none
107;439.0;1.0;F;4;65.0;46;0;1;Superius;428.0;3/1;12/4;none;none;none;none;none
108;440.0;2.0;G;4;67.0;47;0;1;Superius;440.0;3/1;12/4;none;none;none;none;none
109;442.0;2.0;E;4;64.0;47;0;1;Superius;440.0;3/1;12/4;none;none;none;none;none
110;444.0;2.0;G;4;67.0;47;0;1;Superius;440.0;3/1;12/4;none;none;none;none;none
111;446.0;2.0;A;4;69.0;47;0;1;Superius;440.0;3/1;12/4;none;none;none;none;none
112;448.0;4.0;F;4;65.0;47;0;1;Superius;440.0;3/1;12/4;none;none;none;none;none
113;452.0;1.0;E;4;64.0;48;0;1;Superius;452.0;3/1;12/4;none;none;none;none;none
114;453.0;1.0;F;4;65.0;48;0;1;Superius;452.0;3/1;12/4;none;none;none;none;none
115;454.0;1.0;G;4;67.0;48;0;1;Superius;452.0;3/1;12/4;none;none;none;none;none
116;455.0;1.0;A;4;69.0;48;0;1;Superius;452.0;3/1;12/4;none;none;none;none;none
117;456.0;2.0;B;4;71.0;48;0;1;Superius;452.0;3/1;12/4;none;none;none;none;none
118;458.0;2.0;C;5;72.0;48;0;1;Superius;452.0;3/1;12/4;none;none;none;none;none
119;460.0;2.0;A;4;69.0;48;0;1;Superius;452.0;3/1;12/4;none;none;none;none;none
120;462.0;2.0;C;5;72.0;48;0;1;Superius;452.0;3/1;12/4;none;none;none;none;none
121;464.0;4.0;B;4;71.0;49;0;1;Superius;464.0;3/1;12/4;none;none;none;none;none
122;468.0;4.0;rest;rest;;49;0;1;Superius;464.0;3/1;12/4;none;none;none;none;none
123;472.0;4.0;C;5;72.0;49;0;1;Superius;464.0;3/1;12/4;none;none;none;none;none
124;476.0;3.0;B;4;71.0;50;0;1;Superius;476.0;3/1;12/4;none;none;none;none;none
125;479.0;1.0;A;4;69.0;50;0;1;Superius;476.0;3/1;12/4;none;none;none;none;none
126;480.0;2.0;B;4;71.0;50;0;1;Superius;476.0;3/1;12/4;none;none;none;none;none
127;482.0;4.0;C;5;72.0;50;0;1;Superius;476.0;3/1;12/4;none;none;none;none;none
128;486.0;1.0;B;4;71.0;50;0;1;Superius;476.0;3/1;12/4;none;none;none;none;none
129;487.0;1.0;A;4;69.0;50;0;1;Superius;476.0;3/1;12/4;none;none;none;none;none
130;488.0;2.0;G;4;67.0;51;0;1;Superius;488.0;3/1;12/4;none;none;none;none;none
131;490.0;2.0;C;5;72.0;51;0;1;Superius;488.0;3/1;12/4;none;none;none;none;none
132;492.0;2.0;B;4;71.0;51;0;1;Superius;488.0;3/1;12/4;none;none;none;none;none
133;494.0;4.0;A;4;69.0;51;0;1;Superius;488.0;3/1;12/4;none;none;none;none;none
134;498.0;2.0;G1;4;68.0;51;0;1;Superius;488.0;3/1;12/4;none;none;none;none;none
135;500.0;2.0;A;4;69.0;52;0;1;Superius;500.0;3/1;12/4;none;none;none;none;none
136;502.0;2.0;C;5;72.0;52;0;1;Superius;500.0;3/1;12/4;none;none;none;none;none
137;504.0;2.0;B;4;71.0;52;0;1;Superius;500.0;3/1;12/4;none;none;none;none;none
138;506.0;3.0;A;4;69.0;52;0;1;Superius;500.0;3/1;12/4;none;none;none;none;none
139;509.0;1.0;G;4;67.0;52;0;1;Superius;500.0;3/1;12/4;none;none;none;none;none
140;510.0;2.0;F;4;65.0;52;0;1;Superius;500.0;3/1;12/4;none;none;none;none;none
141;512.0;4.0;E;4;64.0;53;0;1;Superius;512.0;3/1;12/4;none;none;none;none;none
142;516.0;4.0;rest;rest;;53;0;1;Superius;512.0;3/1;12/4;none;none;none;none;none
143;520.0;4.0;F;4;65.0;53;0;1;Superius;512.0;3/1;12/4;none;none;none;none;none
