Tonhöhe;Dauernwert;Anzahl
E2;1.0;3
G2;1.0;2
A2;0.5;6
A2;1.0;2
B2;0.5;8
B2;1.0;13
C3;0.5;4
C#3;0.5;6
D3;0.5;6
D3;1.0;8
D#3;1.0;2
E3;0.5;18
E3;1.0;15
F#3;0.5;16
F#3;1.0;15
G3;0.5;13
G3;1.0;15
A3;0.5;7
A3;1.0;7
A#3;0.5;2
A#3;1.0;1
B3;0.5;3
B3;1.0;20
B3;1.5;2
C4;0.5;1
C4;1.0;1
C#4;0.5;4
C#4;1.0;8
D4;0.5;6
D4;1.0;7
D#4;0.5;3
D#4;1.0;5
E4;0.5;12
E4;1.0;12
F#4;0.5;12
F#4;1.0;16
G4;0.5;8
G4;1.0;7
G#4;1.0;1
A4;0.5;5
A4;1.0;10
A#4;0.5;1
A#4;1.0;2
B4;0.5;2
B4;1.0;12
B4;1.5;1
C#5;1.0;6
D5;0.5;1
D5;1.0;5
E5;0.5;2
E5;1.0;6
F#5;0.5;1
F#5;1.0;1
