MIDI;Metric Profile;Occurrences
C;1.0;12
C;1.38;2
C;1.5;2
C;2.0;1
C;2.25;3
C;2.5;4
C;3.0;15
C;3.5;5
C;4.0;3
C;4.25;2
C;4.5;7
C#;1.0;1
C#;2.0;1
D;1.0;1
D;1.25;1
D;1.5;4
D;2.0;7
D;2.25;1
D;2.5;6
D;2.75;3
D;3.0;7
D;3.5;3
D;4.0;6
D;4.25;4
D;4.5;4
D#;1.0;37
D#;1.25;4
D#;1.5;2
D#;1.75;5
D#;2.0;7
D#;2.5;7
D#;2.75;1
D#;3.0;20
D#;3.25;6
D#;3.5;5
D#;3.75;3
D#;4.0;11
D#;4.5;2
D#;4.75;7
F;1.0;10
F;1.25;1
F;1.38;2
F;1.5;3
F;1.75;1
F;2.0;10
F;2.25;3
F;2.5;10
F;2.75;3
F;3.0;3
F;3.25;3
F;3.75;4
F;4.0;5
F;4.5;8
G;1.0;6
G;1.5;6
G;2.0;4
G;2.25;4
G;3.0;7
G;3.5;13
G;4.25;6
G;4.5;6
G#;1.0;4
G#;1.25;4
G#;1.5;2
G#;1.75;3
G#;2.0;4
G#;2.5;8
G#;3.0;7
G#;3.25;4
G#;4.0;16
G#;4.25;1
G#;4.75;2
A;1.0;2
A;1.25;1
A;1.5;2
A;2.0;8
A;2.5;3
A;2.75;3
A;3.0;8
A;4.0;1
A#;1.0;12
A#;1.25;1
A#;1.5;6
A#;1.75;3
A#;2.0;17
A#;2.25;1
A#;2.5;8
A#;2.75;2
A#;3.0;22
A#;3.25;3
A#;3.5;3
A#;3.75;6
A#;4.0;10
A#;4.5;7
A#;4.75;4
B;2.0;12
B;3.0;2
