;Onset;Duration;Pitch;Octave;MIDI;Measure;Voice;PartID;PartName;MeasureOnset;TimeSignature;TimeSignatureAdjusted;Upbeat;UpbeatMeasure;ChordTag;TieType;GraceTag
0;0.0;1.0;E-1;4;63.0;1;0;1;Violino I;0.0;4/4;16/16;none;none;none;none;none
1;1.0;1.0;B0;3;59.0;1;0;1;Violino I;0.0;4/4;16/16;none;none;none;none;none
2;2.0;1.0;C;4;60.0;1;0;1;Violino I;0.0;4/4;16/16;none;none;none;none;none
3;3.0;1.0;rest;rest;;1;0;1;Violino I;0.0;4/4;16/16;none;none;none;none;none
4;4.0;1.0;E-1;4;63.0;2;0;1;Violino I;4.0;4/4;16/16;none;none;none;none;none
5;5.0;1.0;A0;3;57.0;2;0;1;Violino I;4.0;4/4;16/16;none;none;none;none;none
6;6.0;1.0;B-1;3;58.0;2;0;1;Violino I;4.0;4/4;16/16;none;none;none;none;none
7;7.0;1.0;rest;rest;;2;0;1;Violino I;4.0;4/4;16/16;none;none;none;none;none
8;8.0;1.0;C;5;72.0;3;0;1;Violino I;8.0;4/4;16/16;none;none;none;none;none
9;9.0;1.0;F;4;65.0;3;0;1;Violino I;8.0;4/4;16/16;none;none;none;none;none
10;10.0;1.0;A-1;4;68.0;3;0;1;Violino I;8.0;4/4;16/16;none;none;none;none;none
11;11.0;1.0;D;4;62.0;3;0;1;Violino I;8.0;4/4;16/16;none;none;none;none;none
12;12.0;0.5;E-1;4;63.0;4;0;1;Violino I;12.0;4/4;16/16;none;none;none;none;none
13;12.5;1.0;B-1;4;70.0;4;0;1;Violino I;12.0;4/4;16/16;none;none;none;none;none
14;13.5;0.5;A-1;4;68.0;4;0;1;Violino I;12.0;4/4;16/16;none;none;none;none;none
15;14.0;0.5;A-1;4;68.0;4;0;1;Violino I;12.0;4/4;16/16;none;none;none;none;none
16;14.5;0.5;G;4;67.0;4;0;1;Violino I;12.0;4/4;16/16;none;none;none;none;none
17;15.0;1.0;F;4;65.0;4;0;1;Violino I;12.0;4/4;16/16;none;none;none;none;none
18;16.0;1.0;E-1;4;63.0;5;0;1;Violino I;16.0;4/4;16/16;none;none;none;none;none
19;17.0;1.0;B0;3;59.0;5;0;1;Violino I;16.0;4/4;16/16;none;none;none;none;none
20;18.0;1.0;C;4;60.0;5;0;1;Violino I;16.0;4/4;16/16;none;none;none;none;none
21;19.0;1.0;rest;rest;;5;0;1;Violino I;16.0;4/4;16/16;none;none;none;none;none
22;20.0;1.0;E-1;4;63.0;6;0;1;Violino I;20.0;4/4;16/16;none;none;none;none;none
23;21.0;1.0;B-1;3;58.0;6;0;1;Violino I;20.0;4/4;16/16;none;none;none;none;none
24;22.0;1.0;A0;3;57.0;6;0;1;Violino I;20.0;4/4;16/16;none;none;none;none;none
25;23.0;1.0;rest;rest;;6;0;1;Violino I;20.0;4/4;16/16;none;none;none;none;none
26;24.0;1.0;G;5;79.0;7;0;1;Violino I;24.0;4/4;16/16;none;none;none;none;none
27;25.0;1.0;C;5;72.0;7;0;1;Violino I;24.0;4/4;16/16;none;none;none;none;none
28;26.0;1.0;E-1;5;75.0;7;0;1;Violino I;24.0;4/4;16/16;none;none;none;none;none
29;27.0;1.0;A0;4;69.0;7;0;1;Violino I;24.0;4/4;16/16;none;none;none;none;none
30;28.0;0.5;B-1;4;70.0;8;0;1;Violino I;28.0;4/4;16/16;none;none;none;none;none
31;28.5;0.5;E-1;5;75.0;8;0;1;Violino I;28.0;4/4;16/16;none;none;none;none;none
32;29.0;0.5;D;5;74.0;8;0;1;Violino I;28.0;4/4;16/16;none;none;none;none;none
33;29.5;0.5;C;5;72.0;8;0;1;Violino I;28.0;4/4;16/16;none;none;none;none;none
34;30.0;1.0;B-1;4;70.0;8;0;1;Violino I;28.0;4/4;16/16;none;none;none;none;none
35;31.0;0.5;rest;rest;;8;0;1;Violino I;28.0;4/4;16/16;none;none;none;none;none
36;31.5;0.5;D;5;74.0;8;0;1;Violino I;28.0;4/4;16/16;none;none;none;none;none
37;32.0;0.375;E-1;5;75.0;9;0;1;Violino I;32.0;4/4;16/16;none;none;none;none;none
38;32.375;0.125;C;5;72.0;9;0;1;Violino I;32.0;4/4;16/16;none;none;none;none;none
39;32.5;0.5;A0;4;69.0;9;0;1;Violino I;32.0;4/4;16/16;none;none;none;none;none
40;33.0;0.5;rest;rest;;9;0;1;Violino I;32.0;4/4;16/16;none;none;none;none;none
41;33.5;0.5;F;5;77.0;9;0;1;Violino I;32.0;4/4;16/16;none;none;none;none;none
42;34.0;0.5;E-1;5;75.0;9;0;1;Violino I;32.0;4/4;16/16;none;none;none;none;none
43;34.5;0.5;D;5;74.0;9;0;1;Violino I;32.0;4/4;16/16;none;none;none;none;none
44;35.0;0.5;rest;rest;;9;0;1;Violino I;32.0;4/4;16/16;none;none;none;none;none
45;35.5;0.5;D;5;74.0;9;0;1;Violino I;32.0;4/4;16/16;none;none;none;none;none
46;36.0;0.375;E-1;5;75.0;10;0;1;Violino I;36.0;4/4;16/16;none;none;none;none;none
47;36.375;0.125;C;5;72.0;10;0;1;Violino I;36.0;4/4;16/16;none;none;none;none;none
48;36.5;0.5;A0;4;69.0;10;0;1;Violino I;36.0;4/4;16/16;none;none;none;none;none
49;37.0;0.5;rest;rest;;10;0;1;Violino I;36.0;4/4;16/16;none;none;none;none;none
50;37.5;0.5;F;5;77.0;10;0;1;Violino I;36.0;4/4;16/16;none;none;none;none;none
51;38.0;0.5;E-1;5;75.0;10;0;1;Violino I;36.0;4/4;16/16;none;none;none;none;none
52;38.5;0.5;D;5;74.0;10;0;1;Violino I;36.0;4/4;16/16;none;none;none;none;none
53;39.0;0.5;rest;rest;;10;0;1;Violino I;36.0;4/4;16/16;none;none;none;none;none
54;39.5;0.5;B-1;4;70.0;10;0;1;Violino I;36.0;4/4;16/16;none;none;none;none;none
55;40.0;1.5;B-1;4;70.0;11;0;1;Violino I;40.0;4/4;16/16;none;none;none;none;none
56;41.5;0.5;B-1;4;70.0;11;0;1;Violino I;40.0;4/4;16/16;none;none;none;none;none
57;42.0;0.25;B-1;4;70.0;11;0;1;Violino I;40.0;4/4;16/16;none;none;none;none;none
58;42.25;0.25;E-1;5;75.0;11;0;1;Violino I;40.0;4/4;16/16;none;none;none;none;none
59;42.5;0.5;B-1;4;70.0;11;0;1;Violino I;40.0;4/4;16/16;none;none;none;none;none
60;43.0;0.5;rest;rest;;11;0;1;Violino I;40.0;4/4;16/16;none;none;none;none;none
61;43.5;1.0;G;5;79.0;11;0;1;Violino I;40.0;4/4;16/16;none;none;none;start;none
62;44.5;1.0;A-1;5;80.0;12;0;1;Violino I;44.0;4/4;16/16;none;none;none;none;none
63;45.5;0.5;D;5;74.0;12;0;1;Violino I;44.0;4/4;16/16;none;none;none;none;none
64;46.0;0.5;E-1;5;75.0;12;0;1;Violino I;44.0;4/4;16/16;none;none;none;none;none
65;46.5;0.5;B-1;4;70.0;12;0;1;Violino I;44.0;4/4;16/16;none;none;none;none;none
66;47.0;0.5;rest;rest;;12;0;1;Violino I;44.0;4/4;16/16;none;none;none;none;none
67;47.5;0.5;B-1;4;70.0;12;0;1;Violino I;44.0;4/4;16/16;none;none;none;none;none
68;48.0;1.0;E-1;5;75.0;13;0;1;Violino I;48.0;4/4;16/16;none;none;none;none;none
69;49.0;0.5;rest;rest;;13;0;1;Violino I;48.0;4/4;16/16;none;none;none;none;none
70;49.5;0.5;E-1;4;63.0;13;0;1;Violino I;48.0;4/4;16/16;none;none;none;none;none
71;50.0;1.0;D;4;62.0;13;0;1;Violino I;48.0;4/4;16/16;none;none;none;none;none
72;51.0;0.5;rest;rest;;13;0;1;Violino I;48.0;4/4;16/16;none;none;none;none;none
73;51.5;0.5;B-1;4;70.0;13;0;1;Violino I;48.0;4/4;16/16;none;none;none;none;none
74;52.0;1.0;E-1;5;75.0;14;0;1;Violino I;52.0;4/4;16/16;none;none;none;none;none
75;53.0;0.5;rest;rest;;14;0;1;Violino I;52.0;4/4;16/16;none;none;none;none;none
76;53.5;0.5;E-1;4;63.0;14;0;1;Violino I;52.0;4/4;16/16;none;none;none;none;none
77;54.0;1.0;D;4;62.0;14;0;1;Violino I;52.0;4/4;16/16;none;none;none;none;none
78;55.0;1.0;rest;rest;;14;0;1;Violino I;52.0;4/4;16/16;none;none;none;none;none
79;56.0;3.0;E-1;4;63.0;15;0;1;Violino I;56.0;3/4;12/16;none;none;none;none;none
80;59.0;6.0;A-1;4;68.0;16;0;1;Violino I;59.0;3/4;12/16;none;none;none;start;none
81;65.0;6.0;G;4;67.0;18;0;1;Violino I;65.0;3/4;12/16;none;none;none;start;none
82;71.0;3.0;F;4;65.0;20;0;1;Violino I;71.0;3/4;12/16;none;none;none;none;none
83;74.0;3.0;D;4;62.0;21;0;1;Violino I;74.0;3/4;12/16;none;none;none;none;none
84;77.0;3.0;E-1;4;63.0;22;0;1;Violino I;77.0;3/4;12/16;none;none;none;none;none
85;80.0;2.0;C;6;84.0;23;0;1;Violino I;80.0;3/4;12/16;none;none;none;none;none
86;82.0;0.25;B-1;5;82.0;23;0;1;Violino I;80.0;3/4;12/16;none;none;none;none;none
87;82.25;0.25;A-1;5;80.0;23;0;1;Violino I;80.0;3/4;12/16;none;none;none;none;none
88;82.5;0.25;G;5;79.0;23;0;1;Violino I;80.0;3/4;12/16;none;none;none;none;none
89;82.75;0.25;F;5;77.0;23;0;1;Violino I;80.0;3/4;12/16;none;none;none;none;none
90;83.0;1.0;E-1;5;75.0;24;0;1;Violino I;83.0;3/4;12/16;none;none;none;none;none
91;84.0;1.0;D;5;74.0;24;0;1;Violino I;83.0;3/4;12/16;none;none;none;none;none
92;85.0;1.0;E-1;5;75.0;24;0;1;Violino I;83.0;3/4;12/16;none;none;none;none;none
93;86.0;0.5;B-1;4;70.0;25;0;1;Violino I;86.0;3/4;12/16;none;none;none;none;none
94;86.5;0.5;A-1;4;68.0;25;0;1;Violino I;86.0;3/4;12/16;none;none;none;none;none
95;87.0;0.5;rest;rest;;25;0;1;Violino I;86.0;3/4;12/16;none;none;none;none;none
96;87.5;0.5;F;4;65.0;25;0;1;Violino I;86.0;3/4;12/16;none;none;none;none;none
97;88.0;0.5;G;4;67.0;25;0;1;Violino I;86.0;3/4;12/16;none;none;none;none;none
98;88.5;0.5;E-1;4;63.0;25;0;1;Violino I;86.0;3/4;12/16;none;none;none;none;none
99;89.0;0.5;B-1;4;70.0;26;0;1;Violino I;89.0;3/4;12/16;none;none;none;none;none
100;89.5;0.5;A-1;4;68.0;26;0;1;Violino I;89.0;3/4;12/16;none;none;none;none;none
101;90.0;0.5;rest;rest;;26;0;1;Violino I;89.0;3/4;12/16;none;none;none;none;none
102;90.5;0.5;F;4;65.0;26;0;1;Violino I;89.0;3/4;12/16;none;none;none;none;none
103;91.0;0.5;G;4;67.0;26;0;1;Violino I;89.0;3/4;12/16;none;none;none;none;none
104;91.5;0.5;E-1;4;63.0;26;0;1;Violino I;89.0;3/4;12/16;none;none;none;none;none
105;92.0;0.75;D;4;62.0;27;0;1;Violino I;92.0;3/4;12/16;none;none;none;none;none
106;92.75;0.25;E-1;4;63.0;27;0;1;Violino I;92.0;3/4;12/16;none;none;none;none;none
107;93.0;1.5;E-1;4;63.0;27;0;1;Violino I;92.0;3/4;12/16;none;none;none;none;none
108;94.5;0.25;D;4;62.0;27;0;1;Violino I;92.0;3/4;12/16;none;none;none;none;none
109;94.75;0.25;E-1;4;63.0;27;0;1;Violino I;92.0;3/4;12/16;none;none;none;none;none
110;95.0;0.5;F;4;65.0;28;0;1;Violino I;95.0;3/4;12/16;none;none;none;none;none
111;95.5;0.5;D;4;62.0;28;0;1;Violino I;95.0;3/4;12/16;none;none;none;none;none
