,Onset,Duration,Pitch,Octave,MIDI,Measure,LocalOnset,Voice,PartID,PartName,MeasureOnset,MeasureDuration,MeasureDurrDiff,TimeSignature,TimeSignatureAdjusted,Upbeat,ChordTag,TieType,GraceTag
0,0.0,3.0,rest,rest,,1,0.0,1,1,MusicXML Part,0.0,4.0,,4/4,16/16,True,none,none,none
1,3.0,1.0,B-1,5,82.0,1,0.0,1,1,MusicXML Part,0.0,4.0,3.0,4/4,16/16,True,none,none,none
2,4.0,1.5,F,5,77.0,2,0.0,1,1,MusicXML Part,4.0,4.0,0.0,4/4,16/16,False,none,none,none
3,5.5,0.5,E-1,5,75.0,2,1.5,1,1,MusicXML Part,4.0,4.0,0.0,4/4,16/16,False,none,none,none
4,6.0,1.0,D,5,74.0,2,2.0,1,1,MusicXML Part,4.0,4.0,0.0,4/4,16/16,False,none,none,none
5,7.0,1.0,G,5,79.0,2,3.0,1,1,MusicXML Part,4.0,4.0,0.0,4/4,16/16,False,none,none,none
6,8.0,1.0,F,5,77.0,3,0.0,1,1,MusicXML Part,8.0,4.0,0.0,4/4,16/16,False,none,none,none
7,9.0,1.0,A,5,81.0,3,1.0,1,1,MusicXML Part,8.0,4.0,0.0,4/4,16/16,False,none,none,none
8,10.0,1.0,B-1,5,82.0,3,2.0,1,1,MusicXML Part,8.0,4.0,0.0,4/4,16/16,False,none,none,none
9,11.0,1.0,B-1,4,70.0,3,3.0,1,1,MusicXML Part,8.0,4.0,0.0,4/4,16/16,False,none,none,none
10,12.0,1.0,F,5,77.0,4,0.0,1,1,MusicXML Part,12.0,4.0,0.0,4/4,16/16,False,none,none,none
11,13.0,1.0,B-1,5,82.0,4,1.0,1,1,MusicXML Part,12.0,4.0,0.0,4/4,16/16,False,none,start,none
12,14.0,0.5,B-1,5,82.0,4,2.0,1,1,MusicXML Part,12.0,4.0,0.0,4/4,16/16,False,none,stop,none
13,14.5,0.5,A,5,81.0,4,2.5,1,1,MusicXML Part,12.0,4.0,0.0,4/4,16/16,False,none,none,none
14,15.0,0.5,B-1,5,82.0,4,3.0,1,1,MusicXML Part,12.0,4.0,0.0,4/4,16/16,False,none,none,none
15,15.5,0.5,F,5,77.0,4,3.5,1,1,MusicXML Part,12.0,4.0,0.0,4/4,16/16,False,none,start,none
16,16.0,1.0,F,5,77.0,5,0.0,1,1,MusicXML Part,16.0,4.0,1.0,4/4,16/16,True,none,stop,none
17,17.0,1.0,E-1,5,75.0,5,1.0,1,1,MusicXML Part,16.0,4.0,1.0,4/4,16/16,True,none,none,none
18,18.0,1.0,D,5,74.0,5,2.0,1,1,MusicXML Part,16.0,4.0,1.0,4/4,16/16,True,none,none,none
19,20.0,0.5,B-1,5,82.0,6,0.0,1,1,MusicXML Part,20.0,4.0,3.0,4/4,16/16,False,none,none,none
20,20.5,0.5,A-1,5,80.0,6,0.5,1,1,MusicXML Part,20.0,4.0,3.0,4/4,16/16,False,none,start,none
21,24.0,1.0,A-1,5,80.0,7,0.0,1,1,MusicXML Part,24.0,4.0,0.0,4/4,16/16,False,none,stop,none
22,25.0,1.0,G,5,79.0,7,1.0,1,1,MusicXML Part,24.0,4.0,0.0,4/4,16/16,False,none,none,none
23,26.0,0.5,A,5,81.0,7,2.0,1,1,MusicXML Part,24.0,4.0,0.0,4/4,16/16,False,none,none,none
24,26.5,0.5,B-1,5,82.0,7,2.5,1,1,MusicXML Part,24.0,4.0,0.0,4/4,16/16,False,none,none,none
25,27.0,0.5,A,5,81.0,7,3.0,1,1,MusicXML Part,24.0,4.0,0.0,4/4,16/16,False,none,none,none
26,27.5,0.5,G,5,79.0,7,3.5,1,1,MusicXML Part,24.0,4.0,0.0,4/4,16/16,False,none,none,none
27,28.0,1.0,F,5,77.0,8,0.0,1,1,MusicXML Part,28.0,4.0,0.0,4/4,16/16,False,none,start,none
28,29.0,1.0,F,5,77.0,8,1.0,1,1,MusicXML Part,28.0,4.0,0.0,4/4,16/16,False,none,continue,none
29,30.0,0.5,F,5,77.0,8,2.0,1,1,MusicXML Part,28.0,4.0,0.0,4/4,16/16,False,none,stop,none
30,30.5,0.5,A,5,81.0,8,2.5,1,1,MusicXML Part,28.0,4.0,0.0,4/4,16/16,False,none,none,none
31,31.0,0.5,B-1,5,82.0,8,3.0,1,1,MusicXML Part,28.0,4.0,0.0,4/4,16/16,False,none,none,none
32,31.5,0.5,D,5,74.0,8,3.5,1,1,MusicXML Part,28.0,4.0,0.0,4/4,16/16,False,none,none,none
33,32.0,1.0,E,5,76.0,9,0.0,1,1,MusicXML Part,32.0,4.0,0.0,4/4,16/16,False,none,none,none
34,33.0,0.5,F,5,77.0,9,1.0,1,1,MusicXML Part,32.0,4.0,0.0,4/4,16/16,False,none,none,none
35,33.5,0.5,G,5,79.0,9,1.5,1,1,MusicXML Part,32.0,4.0,0.0,4/4,16/16,False,none,none,none
36,34.0,0.5,A,5,81.0,9,2.0,1,1,MusicXML Part,32.0,4.0,0.0,4/4,16/16,False,none,none,none
37,34.5,0.5,F,5,77.0,9,2.5,1,1,MusicXML Part,32.0,4.0,0.0,4/4,16/16,False,none,none,none
38,35.0,0.5,D,5,74.0,9,3.0,1,1,MusicXML Part,32.0,4.0,0.0,4/4,16/16,False,none,none,none
39,35.5,0.5,G,5,79.0,9,3.5,1,1,MusicXML Part,32.0,4.0,0.0,4/4,16/16,False,none,none,none
40,36.0,0.5,C,5,72.0,10,0.0,1,1,MusicXML Part,36.0,4.0,0.0,4/4,16/16,False,none,none,none
41,36.5,0.5,D,5,74.0,10,0.5,1,1,MusicXML Part,36.0,4.0,0.0,4/4,16/16,False,none,none,none
42,37.0,0.5,C,5,72.0,10,1.0,1,1,MusicXML Part,36.0,4.0,0.0,4/4,16/16,False,none,none,none
43,37.5,0.5,B-1,4,70.0,10,1.5,1,1,MusicXML Part,36.0,4.0,0.0,4/4,16/16,False,none,none,none
44,38.0,1.0,A,4,69.0,10,2.0,1,1,MusicXML Part,36.0,4.0,0.0,4/4,16/16,False,none,none,none
45,39.0,1.0,B-1,4,70.0,10,3.0,1,1,MusicXML Part,36.0,4.0,0.0,4/4,16/16,False,none,none,none
46,40.0,1.0,E-1,5,75.0,11,0.0,1,1,MusicXML Part,40.0,4.0,0.0,4/4,16/16,False,none,none,none
47,41.0,1.0,B-1,5,82.0,11,1.0,1,1,MusicXML Part,40.0,4.0,0.0,4/4,16/16,False,none,none,none
48,42.0,0.5,A,5,81.0,11,2.0,1,1,MusicXML Part,40.0,4.0,0.0,4/4,16/16,False,none,none,none
49,42.5,0.5,G,5,79.0,11,2.5,1,1,MusicXML Part,40.0,4.0,0.0,4/4,16/16,False,none,none,none
50,43.0,1.0,F,5,77.0,11,3.0,1,1,MusicXML Part,40.0,4.0,0.0,4/4,16/16,False,none,start,none
51,44.0,0.5,F,5,77.0,12,0.0,1,1,MusicXML Part,44.0,4.0,1.0,4/4,16/16,True,none,stop,none
52,44.5,0.25,G,5,79.0,12,0.5,1,1,MusicXML Part,44.0,4.0,1.0,4/4,16/16,True,none,none,none
53,44.75,0.25,A,5,81.0,12,0.75,1,1,MusicXML Part,44.0,4.0,1.0,4/4,16/16,True,none,none,none
54,45.0,0.75,A,5,81.0,12,1.0,1,1,MusicXML Part,44.0,4.0,1.0,4/4,16/16,True,none,none,none
55,45.75,0.25,B-1,5,82.0,12,1.75,1,1,MusicXML Part,44.0,4.0,1.0,4/4,16/16,True,none,none,none
56,46.0,1.0,B-1,5,82.0,12,2.0,1,1,MusicXML Part,44.0,4.0,1.0,4/4,16/16,True,none,none,none
57,47.0,1.0,rest,rest,,12,2.0,1,1,MusicXML Part,44.0,4.0,,4/4,16/16,True,none,none,none
