Pitch;Beat Strength;Occurrences
43.0;4.0;2.0
45.0;0.0;4.0
45.0;2.0;2.0
45.0;4.0;2.0
46.0;0.0;2.0
46.0;8.0;2.0
47.0;0.0;2.0
48.0;0.0;4.0
48.0;2.0;1.0
48.0;4.0;4.0
48.0;6.0;1.0
50.0;0.0;2.0
50.0;4.0;9.0
50.0;6.0;4.0
50.0;7.0;1.0
50.0;8.0;6.0
50.0;10.0;7.0
52.0;0.0;18.0
52.0;2.0;5.0
52.0;3.0;1.0
52.0;4.0;7.0
52.0;6.0;1.0
52.0;8.0;3.0
52.0;10.0;1.0
53.0;0.0;11.0
53.0;2.0;2.0
53.0;3.0;1.0
53.0;6.0;9.0
53.0;7.0;1.0
53.0;8.0;6.0
55.0;0.0;9.0
55.0;1.0;1.0
55.0;2.0;1.0
55.0;3.0;2.0
55.0;4.0;17.0
55.0;6.0;2.0
55.0;8.0;2.0
55.0;10.0;2.0
56.0;6.0;1.0
57.0;0.0;15.0
57.0;2.0;12.0
57.0;3.0;1.0
57.0;4.0;9.0
57.0;6.0;19.0
57.0;7.0;1.0
57.0;8.0;6.0
57.0;10.0;6.0
57.0;11.0;1.0
58.0;0.0;2.0
58.0;5.0;1.0
58.0;8.0;1.0
59.0;0.0;16.0
59.0;4.0;7.0
59.0;8.0;7.0
59.0;10.0;1.0
60.0;0.0;15.0
60.0;2.0;5.0
60.0;4.0;2.0
60.0;5.0;1.0
60.0;6.0;14.0
60.0;8.0;4.0
60.0;9.0;1.0
60.0;10.0;1.0
62.0;0.0;5.0
62.0;1.0;2.0
62.0;2.0;2.0
62.0;3.0;3.0
62.0;4.0;15.0
62.0;5.0;1.0
62.0;8.0;12.0
62.0;9.0;1.0
62.0;10.0;8.0
62.0;11.0;4.0
64.0;0.0;26.0
64.0;2.0;8.0
64.0;4.0;3.0
64.0;5.0;1.0
64.0;6.0;4.0
64.0;8.0;1.0
64.0;10.0;6.0
64.0;11.0;1.0
65.0;0.0;8.0
65.0;1.0;3.0
65.0;5.0;3.0
65.0;6.0;5.0
65.0;8.0;6.0
65.0;10.0;3.0
65.0;11.0;1.0
66.0;3.0;1.0
67.0;0.0;7.0
67.0;2.0;8.0
67.0;4.0;6.0
67.0;6.0;1.0
67.0;8.0;2.0
67.0;9.0;2.0
67.0;10.0;1.0
68.0;2.0;1.0
68.0;4.0;1.0
68.0;10.0;2.0
69.0;0.0;10.0
69.0;2.0;2.0
69.0;3.0;2.0
69.0;4.0;3.0
69.0;6.0;7.0
69.0;7.0;1.0
69.0;8.0;4.0
69.0;11.0;1.0
71.0;0.0;2.0
71.0;2.0;1.0
71.0;3.0;1.0
71.0;4.0;9.0
71.0;6.0;1.0
71.0;8.0;1.0
71.0;10.0;2.0
72.0;0.0;5.0
72.0;2.0;4.0
72.0;4.0;3.0
72.0;6.0;2.0
72.0;8.0;1.0
72.0;10.0;1.0
74.0;0.0;1.0
74.0;4.0;1.0
