MIDI;Pitch;Metric Profile;Occurrences
31;G1;0.0;2
31;G1;3.0;1
33;A1;2.25;1
35;B1;2.0;1
36;C2;0.0;3
36;C2;1.0;2
36;C2;2.0;1
37;C#2;2.5;1
38;D2;0.0;1
38;D2;0.25;1
38;D2;1.0;2
38;D2;3.0;1
40;E2;0.0;2
40;E2;0.25;1
40;E2;1.0;1
40;E2;2.75;1
41;F2;0.0;7
41;F2;1.0;2
41;F2;2.0;1
42;F#2;0.5;1
42;F#2;2.0;1
42;F#2;3.0;3
42;F#2;3.5;2
43;G2;0.0;6
43;G2;0.25;1
43;G2;1.0;4
43;G2;2.0;5
43;G2;3.0;2
43;G2;3.25;2
43;G2;3.75;2
44;G#2;0.5;1
45;A2;0.0;3
45;A2;0.25;1
45;A2;0.75;1
45;A2;1.0;1
45;A2;2.0;2
45;A2;3.0;1
47;B2;0.5;2
47;B2;0.75;1
47;B2;1.0;1
47;B2;1.5;3
47;B2;2.0;3
47;B2;2.25;1
47;B2;3.0;4
47;B2;3.5;2
48;C3;0.0;8
48;C3;0.25;2
48;C3;0.75;1
48;C3;1.0;4
48;C3;1.25;3
48;C3;1.75;4
48;C3;2.0;4
48;C3;3.0;1
48;C3;3.25;2
48;C3;3.75;2
49;C#3;0.5;1
49;C#3;3.25;1
50;D3;0.0;4
50;D3;0.25;1
50;D3;0.5;2
50;D3;0.75;2
50;D3;1.0;3
50;D3;2.0;4
50;D3;2.25;1
50;D3;3.0;5
50;D3;3.5;3
51;D#3;1.0;1
51;D#3;3.5;1
52;E3;0.0;5
52;E3;0.25;1
52;E3;0.5;2
52;E3;0.75;1
52;E3;1.0;1
52;E3;1.5;3
52;E3;2.0;7
52;E3;2.5;5
52;E3;3.0;2
52;E3;3.5;3
53;F3;0.0;7
53;F3;0.25;2
53;F3;0.5;1
53;F3;0.75;3
53;F3;1.0;2
53;F3;1.75;1
53;F3;2.0;5
53;F3;2.5;1
53;F3;3.0;6
53;F3;3.5;2
53;F3;3.75;1
54;F#3;0.5;6
54;F#3;1.0;2
54;F#3;1.25;1
54;F#3;1.5;6
54;F#3;2.0;4
54;F#3;2.5;3
54;F#3;3.0;2
54;F#3;3.25;1
54;F#3;3.5;2
54;F#3;3.75;2
55;G3;0.0;13
55;G3;0.25;8
55;G3;0.5;7
55;G3;0.75;6
55;G3;1.0;8
55;G3;1.25;6
55;G3;1.5;8
55;G3;1.75;6
55;G3;2.0;10
55;G3;2.25;4
55;G3;2.5;4
55;G3;2.75;4
55;G3;3.0;4
55;G3;3.25;1
55;G3;3.5;8
55;G3;3.75;1
56;G#3;1.25;1
56;G#3;1.5;1
56;G#3;2.0;1
56;G#3;2.5;1
56;G#3;3.5;2
57;A3;0.0;4
57;A3;0.75;1
57;A3;1.0;5
57;A3;1.5;3
57;A3;2.0;6
57;A3;2.25;2
57;A3;2.5;4
57;A3;2.75;1
57;A3;3.0;4
57;A3;3.25;2
57;A3;3.5;3
57;A3;3.75;1
58;A#3;0.0;2
58;A#3;1.0;1
58;A#3;2.0;1
58;A#3;2.25;1
58;A#3;2.5;2
58;A#3;2.75;1
58;A#3;3.0;2
58;A#3;3.25;1
58;A#3;3.5;1
58;A#3;3.75;1
59;B3;0.0;5
59;B3;0.25;1
59;B3;0.5;10
59;B3;0.75;1
59;B3;1.0;6
59;B3;1.25;3
59;B3;1.5;5
59;B3;1.75;1
59;B3;2.0;7
59;B3;2.5;5
59;B3;2.75;2
59;B3;3.0;9
59;B3;3.25;1
59;B3;3.5;3
59;B3;3.75;2
60;C4;0.0;17
60;C4;0.25;9
60;C4;0.5;9
60;C4;0.75;9
60;C4;1.0;11
60;C4;1.25;5
60;C4;1.5;5
60;C4;1.75;6
60;C4;2.0;14
60;C4;2.25;8
60;C4;2.5;6
60;C4;2.75;8
60;C4;3.0;12
60;C4;3.25;5
60;C4;3.5;4
60;C4;3.75;5
61;C#4;0.5;1
61;C#4;1.5;1
61;C#4;3.5;3
61;C#4;3.75;1
62;D4;0.0;9
62;D4;0.25;2
62;D4;0.5;1
62;D4;0.75;2
62;D4;1.0;7
62;D4;1.5;5
62;D4;1.75;4
62;D4;2.0;3
62;D4;2.25;3
62;D4;2.5;4
62;D4;2.75;4
62;D4;3.0;5
62;D4;3.25;2
62;D4;3.5;8
62;D4;3.75;2
63;D#4;1.0;1
63;D#4;3.0;2
64;E4;0.0;11
64;E4;0.25;2
64;E4;0.5;9
64;E4;0.75;4
64;E4;1.0;2
64;E4;1.25;2
64;E4;1.5;9
64;E4;1.75;6
64;E4;2.0;10
64;E4;2.25;3
64;E4;2.5;7
64;E4;2.75;2
64;E4;3.0;6
64;E4;3.25;4
64;E4;3.5;7
64;E4;3.75;4
65;F4;0.0;5
65;F4;0.25;1
65;F4;0.5;4
65;F4;0.75;2
65;F4;1.0;4
65;F4;1.25;2
65;F4;1.5;6
65;F4;1.75;3
65;F4;2.0;5
65;F4;2.25;3
65;F4;2.5;4
65;F4;2.75;3
65;F4;3.0;2
65;F4;3.25;3
65;F4;3.5;4
65;F4;3.75;2
66;F#4;0.0;2
66;F#4;0.25;2
66;F#4;0.5;7
66;F#4;0.75;1
66;F#4;1.0;1
66;F#4;1.25;1
66;F#4;1.5;8
66;F#4;1.75;1
66;F#4;2.0;1
66;F#4;2.5;6
66;F#4;3.0;2
66;F#4;3.5;7
66;F#4;3.75;3
67;G4;0.0;16
67;G4;0.25;16
67;G4;0.5;2
67;G4;0.75;15
67;G4;1.0;6
67;G4;1.25;14
67;G4;1.5;6
67;G4;1.75;17
67;G4;2.0;6
67;G4;2.25;20
67;G4;2.5;3
67;G4;2.75;15
67;G4;3.0;6
67;G4;3.25;14
67;G4;3.5;5
67;G4;3.75;17
67;G4;4.0;1
68;G#4;0.0;1
68;G#4;1.0;1
68;G#4;1.5;2
68;G#4;2.0;2
68;G#4;2.5;2
68;G#4;3.0;3
69;A4;0.0;12
69;A4;0.25;4
69;A4;0.5;6
69;A4;0.75;3
69;A4;1.0;4
69;A4;1.25;5
69;A4;1.5;8
69;A4;1.75;5
69;A4;2.0;12
69;A4;2.25;4
69;A4;2.5;5
69;A4;2.75;5
69;A4;3.0;4
69;A4;3.25;1
69;A4;3.5;7
69;A4;3.75;7
69;A4;4.0;1
70;A#4;0.0;1
70;A#4;1.5;1
70;A#4;2.0;3
70;A#4;2.75;2
70;A#4;3.0;2
70;A#4;3.5;2
71;B4;0.0;11
71;B4;0.25;4
71;B4;0.5;7
71;B4;0.75;7
71;B4;1.0;2
71;B4;1.25;4
71;B4;1.5;11
71;B4;1.75;11
71;B4;2.0;8
71;B4;2.25;7
71;B4;2.5;4
71;B4;2.75;3
71;B4;3.0;7
71;B4;3.25;5
71;B4;3.5;12
71;B4;3.75;3
71;B4;3.875;1
72;C5;0.0;17
72;C5;0.25;6
72;C5;0.5;6
72;C5;0.75;7
72;C5;0.875;1
72;C5;1.0;8
72;C5;1.25;9
72;C5;1.5;10
72;C5;1.75;7
72;C5;2.0;15
72;C5;2.25;12
72;C5;2.5;12
72;C5;2.75;6
72;C5;3.0;3
72;C5;3.25;12
72;C5;3.5;4
72;C5;3.75;9
72;C5;4.0;1
73;C#5;0.0;1
73;C#5;0.5;1
73;C#5;0.75;2
73;C#5;2.0;6
73;C#5;2.25;2
73;C#5;2.5;1
73;C#5;2.75;2
73;C#5;3.0;2
73;C#5;3.5;3
74;D5;0.0;17
74;D5;0.25;3
74;D5;0.5;9
74;D5;0.75;1
74;D5;1.0;9
74;D5;1.25;6
74;D5;1.5;9
74;D5;1.75;10
74;D5;2.0;15
74;D5;2.5;6
74;D5;2.75;11
74;D5;3.0;15
74;D5;3.25;5
74;D5;3.5;9
74;D5;3.75;7
74;D5;4.0;1
75;D#5;0.25;1
75;D#5;0.5;1
75;D#5;0.75;1
75;D#5;1.0;2
75;D#5;1.875;1
75;D#5;2.0;5
75;D#5;3.0;1
75;D#5;3.5;1
76;E5;0.0;10
76;E5;0.5;13
76;E5;0.75;3
76;E5;1.0;14
76;E5;1.25;6
76;E5;1.5;16
76;E5;1.75;3
76;E5;2.0;10
76;E5;2.25;2
76;E5;2.5;10
76;E5;2.75;7
76;E5;3.0;13
76;E5;3.25;11
76;E5;3.5;4
76;E5;3.75;7
76;E5;3.875;1
76;E5;4.0;1
77;F5;0.0;10
77;F5;0.25;1
